record_id,farm_id,animal_id,drug_name,drug_class,dose_mg,treatment_days,days_after_treatment,residue_mg_per_kg,mrl_limit_mg_per_kg,violation_flag,test_date
1586,2,65,Gentamicin,Aminoglycoside,427,3,1,0.3227,0.01,1,2025-08-31
1587,45,1764,Gentamicin,Aminoglycoside,651,7,2,0.3003,0.01,1,2025-10-28
1588,32,1271,Enrofloxacin,Fluoroquinolone,602,1,7,0.0463,0.002,1,2025-09-07
1589,39,1555,Oxytetracycline,Tetracycline,586,3,9,0.0385,0.01,1,2025-05-06
1590,38,1484,Oxytetracycline,Tetracycline,565,4,6,0.0698,0.01,1,2025-08-29
1591,2,71,Enrofloxacin,Fluoroquinolone,417,5,8,0.0374,0.002,1,2025-07-30
1592,5,195,Oxytetracycline,Tetracycline,800,2,10,0.109,0.01,1,2025-01-15
1593,48,1916,Sulfonamide,Sulfonamide,555,1,9,0.042,0.1,0,2025-05-21
1594,36,1428,Sulfonamide,Sulfonamide,497,7,9,0.0637,0.1,0,2025-01-25
1595,13,519,Sulfonamide,Sulfonamide,220,6,9,0.0242,0.1,0,2025-08-20
1596,16,601,Penicillin,Beta-lactam,140,3,10,0.0116,0.005,1,2025-02-26
1597,36,1407,Penicillin,Beta-lactam,178,2,8,0.0219,0.005,1,2025-01-03
1598,20,794,Penicillin,Beta-lactam,485,1,5,0.0662,0.005,1,2025-06-24
1599,45,1773,Sulfonamide,Sulfonamide,605,2,8,0.0989,0.1,0,2025-03-01
1600,6,208,Penicillin,Beta-lactam,242,2,10,0.0257,0.005,1,2025-08-13
1601,26,1017,Enrofloxacin,Fluoroquinolone,540,1,9,0.0839,0.002,1,2025-07-08
1602,33,1301,Sulfonamide,Sulfonamide,208,4,8,0.0139,0.1,0,2025-08-12
1603,29,1142,Gentamicin,Aminoglycoside,168,1,2,0.0641,0.01,1,2025-12-07
1604,19,733,Gentamicin,Aminoglycoside,510,5,4,0.1793,0.01,1,2025-03-12
1605,7,248,Oxytetracycline,Tetracycline,265,1,10,0.0182,0.01,1,2025-04-11
1606,23,914,Sulfonamide,Sulfonamide,482,5,5,0.0943,0.1,0,2025-12-03
1607,10,380,Sulfonamide,Sulfonamide,523,1,9,0.0314,0.1,0,2025-04-14
1608,8,302,Enrofloxacin,Fluoroquinolone,236,6,7,0.0172,0.002,1,2025-01-31
1609,27,1045,Oxytetracycline,Tetracycline,215,5,5,0.0467,0.01,1,2025-01-05
1610,16,622,Penicillin,Beta-lactam,427,2,8,0.0695,0.005,1,2025-04-07
1611,34,1360,Gentamicin,Aminoglycoside,589,4,4,0.0882,0.01,1,2025-07-18
1612,29,1133,Sulfonamide,Sulfonamide,172,2,3,0.0778,0.1,0,2025-03-16
1613,45,1764,Oxytetracycline,Tetracycline,589,5,2,0.314,0.01,1,2025-05-07
1614,33,1284,Gentamicin,Aminoglycoside,740,3,4,0.2457,0.01,1,2025-07-28
1615,4,123,Gentamicin,Aminoglycoside,143,7,6,0.0305,0.01,1,2025-01-15
1616,10,395,Enrofloxacin,Fluoroquinolone,500,4,10,0.0668,0.002,1,2025-04-26
1617,39,1534,Penicillin,Beta-lactam,590,5,9,0.091,0.005,1,2025-11-27
1618,45,1786,Penicillin,Beta-lactam,347,5,9,0.0304,0.005,1,2025-02-08
1619,23,887,Sulfonamide,Sulfonamide,131,4,2,0.0695,0.1,0,2025-12-27
1620,46,1827,Penicillin,Beta-lactam,756,1,6,0.098,0.005,1,2025-05-24
1621,24,952,Enrofloxacin,Fluoroquinolone,410,7,9,0.0504,0.002,1,2025-06-07
1622,44,1752,Gentamicin,Aminoglycoside,623,4,7,0.1119,0.01,1,2025-12-19
1623,31,1208,Sulfonamide,Sulfonamide,798,5,10,0.0926,0.1,0,2025-10-21
1624,8,282,Gentamicin,Aminoglycoside,445,1,8,0.0821,0.01,1,2025-09-30
1625,27,1059,Sulfonamide,Sulfonamide,746,1,5,0.1685,0.1,1,2025-05-19
1626,45,1792,Enrofloxacin,Fluoroquinolone,708,5,4,0.1439,0.002,1,2025-06-15
1627,47,1858,Penicillin,Beta-lactam,679,2,6,0.1666,0.005,1,2025-04-09
1628,43,1692,Enrofloxacin,Fluoroquinolone,630,6,7,0.0701,0.002,1,2025-11-03
1629,22,869,Penicillin,Beta-lactam,727,7,3,0.3156,0.005,1,2025-12-19
1630,16,605,Penicillin,Beta-lactam,470,6,9,0.055,0.005,1,2025-04-15
1631,41,1635,Gentamicin,Aminoglycoside,695,5,3,0.143,0.01,1,2025-05-30
1632,33,1308,Penicillin,Beta-lactam,310,5,6,0.0353,0.005,1,2025-11-28
1633,42,1659,Gentamicin,Aminoglycoside,483,2,7,0.0679,0.01,1,2025-05-19
1634,48,1910,Sulfonamide,Sulfonamide,570,5,6,0.0614,0.1,0,2025-11-07
1635,4,148,Enrofloxacin,Fluoroquinolone,227,4,9,0.0374,0.002,1,2025-01-02
1636,4,137,Penicillin,Beta-lactam,360,4,8,0.0646,0.005,1,2025-10-09
1637,30,1196,Enrofloxacin,Fluoroquinolone,623,5,7,0.0622,0.002,1,2025-01-27
1638,22,876,Gentamicin,Aminoglycoside,709,1,8,0.0831,0.01,1,2025-06-10
1639,7,245,Penicillin,Beta-lactam,285,1,6,0.0599,0.005,1,2025-01-28
1640,3,85,Oxytetracycline,Tetracycline,384,1,9,0.0442,0.01,1,2025-03-07
1641,41,1606,Oxytetracycline,Tetracycline,533,2,1,0.7416,0.01,1,2025-10-18
1642,4,123,Oxytetracycline,Tetracycline,214,3,10,0.0261,0.01,1,2025-05-26
1643,23,881,Penicillin,Beta-lactam,336,2,10,0.0371,0.005,1,2025-05-17
1644,48,1901,Sulfonamide,Sulfonamide,462,7,4,0.0753,0.1,0,2025-10-11
1645,30,1197,Enrofloxacin,Fluoroquinolone,325,2,7,0.0326,0.002,1,2025-11-12
1646,1,36,Penicillin,Beta-lactam,193,5,10,0.0285,0.005,1,2025-05-19
1647,42,1658,Gentamicin,Aminoglycoside,227,1,4,0.0764,0.01,1,2025-04-24
1648,13,496,Gentamicin,Aminoglycoside,724,2,3,0.3421,0.01,1,2025-05-24
1649,6,220,Oxytetracycline,Tetracycline,344,6,5,0.0643,0.01,1,2025-11-04
1650,44,1740,Gentamicin,Aminoglycoside,556,2,4,0.0835,0.01,1,2025-02-11
1651,21,837,Gentamicin,Aminoglycoside,553,2,7,0.1067,0.01,1,2025-07-14
1652,2,48,Sulfonamide,Sulfonamide,378,2,8,0.0443,0.1,0,2025-09-26
1653,18,702,Enrofloxacin,Fluoroquinolone,121,4,9,0.015,0.002,1,2025-08-15
1654,32,1243,Penicillin,Beta-lactam,481,2,2,0.2648,0.005,1,2025-12-24
1655,35,1400,Gentamicin,Aminoglycoside,272,7,7,0.0275,0.01,1,2025-06-10
1656,19,724,Gentamicin,Aminoglycoside,380,2,5,0.1063,0.01,1,2025-07-14
1657,31,1230,Gentamicin,Aminoglycoside,124,6,10,0.0092,0.01,0,2025-12-24
1658,4,133,Gentamicin,Aminoglycoside,122,4,10,0.0103,0.01,1,2025-07-15
1659,2,42,Gentamicin,Aminoglycoside,546,6,8,0.0962,0.01,1,2025-02-15
1660,23,896,Enrofloxacin,Fluoroquinolone,456,2,5,0.079,0.002,1,2025-05-14
1661,25,981,Penicillin,Beta-lactam,272,2,10,0.0311,0.005,1,2025-11-03
1662,28,1088,Penicillin,Beta-lactam,137,4,6,0.0125,0.005,1,2025-04-28
1663,5,185,Penicillin,Beta-lactam,194,5,9,0.0119,0.005,1,2025-02-10
1664,27,1076,Enrofloxacin,Fluoroquinolone,563,2,5,0.0722,0.002,1,2025-08-12
1665,15,571,Penicillin,Beta-lactam,334,4,5,0.0445,0.005,1,2025-02-04
1666,12,475,Oxytetracycline,Tetracycline,735,1,10,0.0849,0.01,1,2025-04-01
1667,15,591,Sulfonamide,Sulfonamide,581,4,3,0.1426,0.1,1,2025-04-11
1668,31,1235,Oxytetracycline,Tetracycline,168,7,2,0.0646,0.01,1,2025-04-02
1669,28,1094,Oxytetracycline,Tetracycline,573,5,6,0.1168,0.01,1,2025-03-20
1670,28,1093,Penicillin,Beta-lactam,351,7,1,0.2897,0.005,1,2025-03-29
1671,40,1570,Enrofloxacin,Fluoroquinolone,625,7,1,0.6256,0.002,1,2025-01-30
1672,21,807,Penicillin,Beta-lactam,271,1,8,0.0222,0.005,1,2025-03-09
1673,13,496,Sulfonamide,Sulfonamide,476,5,5,0.0916,0.1,0,2025-08-21
1674,9,359,Oxytetracycline,Tetracycline,354,2,10,0.0444,0.01,1,2025-02-04
1675,20,773,Penicillin,Beta-lactam,100,3,8,0.0129,0.005,1,2025-09-08
1676,35,1388,Gentamicin,Aminoglycoside,663,5,7,0.1315,0.01,1,2025-08-27
1677,50,1971,Sulfonamide,Sulfonamide,462,7,10,0.0498,0.1,0,2025-07-27
1678,39,1540,Enrofloxacin,Fluoroquinolone,636,4,3,0.2127,0.002,1,2025-09-13
1679,7,259,Oxytetracycline,Tetracycline,311,1,10,0.0465,0.01,1,2025-06-02
1680,6,237,Sulfonamide,Sulfonamide,522,4,7,0.0596,0.1,0,2025-01-13
1681,17,645,Gentamicin,Aminoglycoside,303,7,1,0.2168,0.01,1,2025-11-23
1682,39,1537,Penicillin,Beta-lactam,560,7,10,0.0723,0.005,1,2025-03-13
1683,34,1330,Enrofloxacin,Fluoroquinolone,505,2,3,0.0869,0.002,1,2025-04-27
1684,47,1851,Gentamicin,Aminoglycoside,358,4,7,0.0494,0.01,1,2025-08-27
1685,20,761,Penicillin,Beta-lactam,574,2,7,0.1197,0.005,1,2025-05-06
1686,49,1941,Penicillin,Beta-lactam,755,1,5,0.132,0.005,1,2025-06-29
1687,24,953,Gentamicin,Aminoglycoside,769,7,7,0.0635,0.01,1,2025-05-31
1688,19,727,Sulfonamide,Sulfonamide,664,4,1,0.9522,0.1,1,2025-09-03
1689,4,139,Enrofloxacin,Fluoroquinolone,439,2,5,0.1249,0.002,1,2025-03-26
1690,1,23,Oxytetracycline,Tetracycline,249,6,9,0.0213,0.01,1,2025-01-13
1691,27,1044,Penicillin,Beta-lactam,745,5,6,0.0651,0.005,1,2025-07-26
1692,18,685,Sulfonamide,Sulfonamide,571,3,10,0.0472,0.1,0,2025-07-08
1693,3,105,Sulfonamide,Sulfonamide,699,1,8,0.11,0.1,1,2025-08-10
1694,40,1564,Sulfonamide,Sulfonamide,137,6,9,0.0187,0.1,0,2025-10-17
1695,26,1037,Oxytetracycline,Tetracycline,257,7,7,0.0305,0.01,1,2026-01-01
1696,23,901,Enrofloxacin,Fluoroquinolone,247,2,4,0.0366,0.002,1,2025-07-16
1697,15,565,Gentamicin,Aminoglycoside,325,1,1,0.2609,0.01,1,2025-03-10
1698,10,399,Gentamicin,Aminoglycoside,682,2,7,0.1266,0.01,1,2025-03-19
1699,22,875,Sulfonamide,Sulfonamide,681,3,4,0.0852,0.1,0,2025-02-03
1700,9,335,Oxytetracycline,Tetracycline,371,6,8,0.0597,0.01,1,2025-04-23
1701,24,960,Penicillin,Beta-lactam,788,4,2,0.2285,0.005,1,2025-08-24
1702,42,1663,Enrofloxacin,Fluoroquinolone,731,6,6,0.1645,0.002,1,2025-05-13
1703,30,1182,Sulfonamide,Sulfonamide,661,7,6,0.1247,0.1,1,2025-06-17
1704,27,1079,Penicillin,Beta-lactam,783,6,10,0.0799,0.005,1,2025-05-23
1705,42,1652,Sulfonamide,Sulfonamide,351,2,1,0.3278,0.1,1,2025-05-20
1706,17,673,Sulfonamide,Sulfonamide,407,4,7,0.0321,0.1,0,2025-10-30
1707,16,616,Enrofloxacin,Fluoroquinolone,209,7,3,0.0735,0.002,1,2025-04-23
1708,46,1804,Penicillin,Beta-lactam,575,2,2,0.3442,0.005,1,2025-09-16
1709,19,744,Gentamicin,Aminoglycoside,509,4,10,0.0423,0.01,1,2025-02-11
1710,13,497,Penicillin,Beta-lactam,738,4,2,0.4705,0.005,1,2025-01-30
1711,23,893,Gentamicin,Aminoglycoside,542,2,7,0.0754,0.01,1,2025-01-16
1712,18,684,Enrofloxacin,Fluoroquinolone,221,3,4,0.0545,0.002,1,2025-09-09
1713,48,1901,Gentamicin,Aminoglycoside,702,2,7,0.0933,0.01,1,2025-05-01
1714,15,587,Penicillin,Beta-lactam,725,7,3,0.2021,0.005,1,2025-11-03
1715,17,670,Sulfonamide,Sulfonamide,485,7,2,0.1457,0.1,1,2025-02-12
1716,41,1631,Oxytetracycline,Tetracycline,253,5,7,0.0359,0.01,1,2025-02-17
1717,48,1914,Penicillin,Beta-lactam,152,1,8,0.0129,0.005,1,2025-03-10
1718,15,597,Enrofloxacin,Fluoroquinolone,795,6,6,0.1545,0.002,1,2025-02-14
1719,3,83,Penicillin,Beta-lactam,417,3,2,0.1124,0.005,1,2025-10-26
1720,5,169,Oxytetracycline,Tetracycline,729,1,4,0.235,0.01,1,2025-07-20
1721,43,1688,Gentamicin,Aminoglycoside,210,3,10,0.0166,0.01,1,2025-09-27
1722,4,147,Sulfonamide,Sulfonamide,391,2,2,0.1881,0.1,1,2025-05-14
1723,9,323,Sulfonamide,Sulfonamide,198,4,10,0.0143,0.1,0,2025-05-26
1724,2,66,Gentamicin,Aminoglycoside,446,6,3,0.1776,0.01,1,2025-08-20
1725,19,735,Sulfonamide,Sulfonamide,413,3,7,0.0542,0.1,0,2025-05-01
1726,41,1627,Enrofloxacin,Fluoroquinolone,782,3,4,0.1448,0.002,1,2025-03-18
1727,37,1441,Penicillin,Beta-lactam,137,1,1,0.149,0.005,1,2025-03-02
1728,8,303,Oxytetracycline,Tetracycline,559,2,3,0.2278,0.01,1,2025-05-25
1729,40,1578,Enrofloxacin,Fluoroquinolone,427,5,4,0.1301,0.002,1,2025-08-11
1730,21,840,Oxytetracycline,Tetracycline,759,6,9,0.1037,0.01,1,2025-06-04
1731,48,1920,Penicillin,Beta-lactam,584,6,1,0.5047,0.005,1,2025-07-20
1732,10,393,Enrofloxacin,Fluoroquinolone,167,1,1,0.224,0.002,1,2025-05-10
1733,20,798,Penicillin,Beta-lactam,609,4,7,0.1117,0.005,1,2025-06-15
1734,24,921,Penicillin,Beta-lactam,434,6,7,0.0718,0.005,1,2025-10-18
1735,45,1778,Penicillin,Beta-lactam,107,7,3,0.0519,0.005,1,2025-08-01
1736,5,191,Gentamicin,Aminoglycoside,442,2,1,0.6118,0.01,1,2025-05-03
1737,27,1051,Sulfonamide,Sulfonamide,607,3,4,0.1853,0.1,1,2025-08-02
1738,2,79,Oxytetracycline,Tetracycline,746,3,6,0.1617,0.01,1,2025-07-10
1739,18,691,Oxytetracycline,Tetracycline,207,4,9,0.0161,0.01,1,2025-03-17
1740,18,681,Sulfonamide,Sulfonamide,380,5,7,0.0754,0.1,0,2025-10-30
1741,32,1255,Sulfonamide,Sulfonamide,301,4,1,0.2874,0.1,1,2025-10-30
1742,29,1121,Enrofloxacin,Fluoroquinolone,651,7,8,0.0443,0.002,1,2025-06-20
1743,1,37,Gentamicin,Aminoglycoside,703,6,2,0.3425,0.01,1,2025-08-02
1744,48,1903,Gentamicin,Aminoglycoside,723,5,4,0.2572,0.01,1,2025-10-30
1745,12,457,Gentamicin,Aminoglycoside,371,3,1,0.4885,0.01,1,2025-12-09
1746,47,1853,Sulfonamide,Sulfonamide,360,4,5,0.0363,0.1,0,2025-04-28
1747,3,84,Penicillin,Beta-lactam,560,2,7,0.0402,0.005,1,2025-01-25
1748,50,1964,Oxytetracycline,Tetracycline,380,5,9,0.0608,0.01,1,2025-01-09
1749,26,1028,Enrofloxacin,Fluoroquinolone,714,6,1,0.7116,0.002,1,2025-10-25
1750,11,438,Sulfonamide,Sulfonamide,777,5,5,0.1989,0.1,1,2025-05-01
1751,48,1896,Gentamicin,Aminoglycoside,674,6,6,0.0761,0.01,1,2025-12-02
1752,11,411,Oxytetracycline,Tetracycline,539,1,6,0.103,0.01,1,2025-09-03
1753,2,43,Oxytetracycline,Tetracycline,232,6,5,0.031,0.01,1,2025-05-30
1754,35,1376,Enrofloxacin,Fluoroquinolone,525,2,7,0.0528,0.002,1,2025-03-25
1755,19,741,Oxytetracycline,Tetracycline,395,3,9,0.0523,0.01,1,2025-11-24
1756,4,141,Oxytetracycline,Tetracycline,259,7,2,0.1752,0.01,1,2025-01-02
1757,49,1953,Penicillin,Beta-lactam,167,7,5,0.0489,0.005,1,2025-02-28
1758,40,1567,Gentamicin,Aminoglycoside,445,1,9,0.0626,0.01,1,2025-10-01
1759,24,953,Sulfonamide,Sulfonamide,225,4,10,0.0175,0.1,0,2025-02-12
1760,19,730,Oxytetracycline,Tetracycline,461,2,7,0.086,0.01,1,2025-10-07
1761,49,1936,Enrofloxacin,Fluoroquinolone,118,5,2,0.088,0.002,1,2025-03-25
1762,8,299,Enrofloxacin,Fluoroquinolone,264,5,9,0.0204,0.002,1,2025-11-20
1763,18,720,Oxytetracycline,Tetracycline,448,7,7,0.0827,0.01,1,2025-08-10
1764,6,213,Sulfonamide,Sulfonamide,512,2,3,0.1178,0.1,1,2025-11-23
1765,25,991,Sulfonamide,Sulfonamide,168,6,4,0.056,0.1,0,2025-09-11
1766,29,1142,Gentamicin,Aminoglycoside,496,3,6,0.0578,0.01,1,2025-01-22
1767,2,75,Gentamicin,Aminoglycoside,292,1,10,0.025,0.01,1,2025-12-07
1768,48,1913,Enrofloxacin,Fluoroquinolone,764,3,7,0.1364,0.002,1,2025-01-04
1769,50,1986,Enrofloxacin,Fluoroquinolone,574,1,3,0.257,0.002,1,2025-11-01
1770,27,1067,Sulfonamide,Sulfonamide,219,5,3,0.0711,0.1,0,2025-10-11
1771,29,1130,Enrofloxacin,Fluoroquinolone,222,5,1,0.2855,0.002,1,2025-11-23
1772,17,650,Penicillin,Beta-lactam,419,5,7,0.0475,0.005,1,2025-02-24
1773,3,113,Enrofloxacin,Fluoroquinolone,780,2,5,0.2052,0.002,1,2025-03-20
1774,15,575,Enrofloxacin,Fluoroquinolone,521,1,9,0.05,0.002,1,2025-09-13
1775,16,632,Enrofloxacin,Fluoroquinolone,516,1,1,0.7643,0.002,1,2025-06-17
1776,10,379,Oxytetracycline,Tetracycline,240,5,10,0.0264,0.01,1,2025-02-21
1777,19,743,Oxytetracycline,Tetracycline,197,3,6,0.0269,0.01,1,2025-03-05
1778,10,375,Sulfonamide,Sulfonamide,317,5,2,0.1159,0.1,1,2025-05-22
1779,16,638,Sulfonamide,Sulfonamide,654,7,2,0.4289,0.1,1,2025-10-09
1780,48,1916,Sulfonamide,Sulfonamide,659,3,9,0.0848,0.1,0,2025-02-21
1781,46,1834,Gentamicin,Aminoglycoside,141,3,7,0.0119,0.01,1,2025-06-20
1782,14,552,Oxytetracycline,Tetracycline,240,1,2,0.1739,0.01,1,2025-10-29
1783,1,9,Oxytetracycline,Tetracycline,588,1,8,0.0962,0.01,1,2025-07-27
1784,28,1110,Oxytetracycline,Tetracycline,370,2,10,0.0533,0.01,1,2025-05-07
1785,5,168,Enrofloxacin,Fluoroquinolone,272,2,10,0.0327,0.002,1,2025-02-23
1786,33,1292,Oxytetracycline,Tetracycline,581,2,3,0.1296,0.01,1,2025-12-16
1787,27,1044,Penicillin,Beta-lactam,517,1,9,0.079,0.005,1,2025-10-23
1788,41,1628,Penicillin,Beta-lactam,604,5,4,0.0845,0.005,1,2025-04-19
1789,32,1256,Gentamicin,Aminoglycoside,297,7,9,0.0262,0.01,1,2025-03-11
1790,21,829,Sulfonamide,Sulfonamide,521,5,5,0.0802,0.1,0,2025-11-12
1791,44,1754,Oxytetracycline,Tetracycline,530,3,10,0.0529,0.01,1,2025-02-28
1792,21,831,Sulfonamide,Sulfonamide,295,6,5,0.0703,0.1,0,2025-10-23
1793,10,378,Sulfonamide,Sulfonamide,222,6,4,0.0351,0.1,0,2025-01-21
1794,12,473,Penicillin,Beta-lactam,147,6,2,0.087,0.005,1,2025-03-10
1795,50,1977,Penicillin,Beta-lactam,383,1,10,0.0193,0.005,1,2025-04-18
1796,37,1469,Oxytetracycline,Tetracycline,114,4,2,0.048,0.01,1,2025-08-17
1797,8,296,Penicillin,Beta-lactam,763,7,2,0.5222,0.005,1,2025-06-16
1798,22,842,Gentamicin,Aminoglycoside,775,5,5,0.1462,0.01,1,2025-04-14
1799,44,1757,Penicillin,Beta-lactam,311,4,6,0.0357,0.005,1,2025-12-07
1800,44,1758,Penicillin,Beta-lactam,601,4,5,0.1127,0.005,1,2025-05-10
1801,1,7,Gentamicin,Aminoglycoside,574,2,1,0.7355,0.01,1,2025-01-31
1802,39,1533,Gentamicin,Aminoglycoside,636,3,4,0.1452,0.01,1,2025-05-28
1803,8,289,Enrofloxacin,Fluoroquinolone,386,2,7,0.07,0.002,1,2025-08-31
1804,41,1610,Sulfonamide,Sulfonamide,166,5,8,0.0176,0.1,0,2025-11-26
1805,12,460,Gentamicin,Aminoglycoside,305,6,5,0.0817,0.01,1,2025-07-19
1806,14,553,Penicillin,Beta-lactam,591,2,8,0.1038,0.005,1,2025-01-09
1807,40,1600,Penicillin,Beta-lactam,760,4,7,0.078,0.005,1,2025-10-10
1808,27,1044,Penicillin,Beta-lactam,212,3,6,0.0361,0.005,1,2025-12-20
1809,6,203,Enrofloxacin,Fluoroquinolone,774,5,5,0.1929,0.002,1,2025-01-11
1810,4,129,Sulfonamide,Sulfonamide,209,2,5,0.0314,0.1,0,2025-05-06
1811,39,1552,Sulfonamide,Sulfonamide,728,5,9,0.115,0.1,1,2025-11-18
1812,26,1018,Sulfonamide,Sulfonamide,103,2,1,0.0852,0.1,0,2025-12-20
1813,40,1577,Sulfonamide,Sulfonamide,529,5,6,0.0442,0.1,0,2025-04-10
1814,10,384,Oxytetracycline,Tetracycline,413,6,7,0.0443,0.01,1,2025-05-20
1815,31,1201,Penicillin,Beta-lactam,743,4,10,0.0791,0.005,1,2025-07-02
1816,5,197,Gentamicin,Aminoglycoside,583,5,4,0.2026,0.01,1,2025-06-16
1817,3,94,Enrofloxacin,Fluoroquinolone,465,4,4,0.12,0.002,1,2025-09-10
1818,12,467,Gentamicin,Aminoglycoside,675,1,2,0.2036,0.01,1,2025-03-12
1819,12,474,Gentamicin,Aminoglycoside,144,2,8,0.0164,0.01,1,2025-02-07
1820,6,211,Sulfonamide,Sulfonamide,551,6,3,0.1324,0.1,1,2025-04-20
1821,12,448,Enrofloxacin,Fluoroquinolone,199,1,5,0.0204,0.002,1,2025-10-28
1822,21,838,Oxytetracycline,Tetracycline,387,6,10,0.0538,0.01,1,2025-04-18
1823,5,192,Enrofloxacin,Fluoroquinolone,342,5,2,0.1015,0.002,1,2025-05-09
1824,41,1621,Sulfonamide,Sulfonamide,649,6,4,0.0883,0.1,0,2025-12-19
1825,15,568,Sulfonamide,Sulfonamide,271,6,1,0.3865,0.1,1,2025-09-08
1826,42,1674,Penicillin,Beta-lactam,521,3,2,0.1534,0.005,1,2025-10-26
1827,12,470,Sulfonamide,Sulfonamide,384,1,7,0.0656,0.1,0,2025-07-02
1828,39,1543,Gentamicin,Aminoglycoside,669,6,3,0.1175,0.01,1,2025-02-19
1829,33,1285,Sulfonamide,Sulfonamide,121,6,5,0.0168,0.1,0,2025-03-22
1830,12,480,Oxytetracycline,Tetracycline,283,2,4,0.0494,0.01,1,2025-06-01
1831,24,944,Oxytetracycline,Tetracycline,777,4,4,0.2173,0.01,1,2025-01-17
1832,7,242,Penicillin,Beta-lactam,475,6,5,0.1268,0.005,1,2025-08-10
1833,8,316,Oxytetracycline,Tetracycline,262,4,7,0.019,0.01,1,2025-07-11
1834,2,72,Sulfonamide,Sulfonamide,279,6,7,0.0243,0.1,0,2025-03-22
1835,11,434,Oxytetracycline,Tetracycline,257,4,2,0.1201,0.01,1,2025-12-25
1836,42,1665,Penicillin,Beta-lactam,372,6,9,0.0502,0.005,1,2025-12-13
1837,28,1088,Sulfonamide,Sulfonamide,699,3,8,0.0574,0.1,0,2025-11-01
1838,28,1092,Sulfonamide,Sulfonamide,320,4,7,0.0307,0.1,0,2025-08-16
1839,15,572,Enrofloxacin,Fluoroquinolone,366,5,4,0.1305,0.002,1,2025-01-11
1840,11,402,Gentamicin,Aminoglycoside,402,4,9,0.0431,0.01,1,2025-02-16
1841,45,1792,Sulfonamide,Sulfonamide,218,7,3,0.1018,0.1,1,2025-04-28
1842,38,1510,Sulfonamide,Sulfonamide,215,5,8,0.024,0.1,0,2025-11-29
1843,30,1190,Penicillin,Beta-lactam,154,5,3,0.0533,0.005,1,2025-04-29
1844,41,1637,Penicillin,Beta-lactam,346,1,9,0.0522,0.005,1,2025-10-06
1845,46,1812,Oxytetracycline,Tetracycline,347,5,9,0.0225,0.01,1,2025-09-26
1846,28,1101,Oxytetracycline,Tetracycline,365,3,6,0.0638,0.01,1,2025-04-02
1847,3,91,Gentamicin,Aminoglycoside,602,7,4,0.0963,0.01,1,2025-04-23
1848,36,1432,Oxytetracycline,Tetracycline,630,2,10,0.0594,0.01,1,2025-08-05
1849,37,1477,Sulfonamide,Sulfonamide,182,6,6,0.0291,0.1,0,2025-12-15
1850,15,566,Enrofloxacin,Fluoroquinolone,130,1,1,0.1664,0.002,1,2025-12-07
1851,36,1415,Oxytetracycline,Tetracycline,131,1,6,0.0145,0.01,1,2025-11-23
1852,30,1200,Oxytetracycline,Tetracycline,184,6,4,0.0451,0.01,1,2025-02-20
1853,23,900,Sulfonamide,Sulfonamide,763,3,1,0.9823,0.1,1,2025-11-06
1854,2,53,Penicillin,Beta-lactam,461,3,7,0.0772,0.005,1,2025-09-16
1855,34,1323,Enrofloxacin,Fluoroquinolone,399,3,3,0.0778,0.002,1,2025-03-17
1856,31,1230,Sulfonamide,Sulfonamide,652,4,5,0.1292,0.1,1,2025-02-09
1857,8,309,Penicillin,Beta-lactam,395,5,10,0.0509,0.005,1,2025-06-10
1858,20,778,Gentamicin,Aminoglycoside,141,5,7,0.0195,0.01,1,2025-01-23
1859,31,1228,Oxytetracycline,Tetracycline,102,6,5,0.0283,0.01,1,2025-07-13
1860,18,708,Enrofloxacin,Fluoroquinolone,190,3,9,0.0164,0.002,1,2025-03-18
1861,21,830,Gentamicin,Aminoglycoside,676,1,4,0.1543,0.01,1,2025-05-18
1862,27,1048,Penicillin,Beta-lactam,429,3,1,0.3716,0.005,1,2025-03-29
1863,41,1608,Sulfonamide,Sulfonamide,484,6,1,0.5094,0.1,1,2025-01-21
1864,33,1281,Gentamicin,Aminoglycoside,154,4,4,0.0285,0.01,1,2025-11-05
1865,44,1754,Sulfonamide,Sulfonamide,671,4,10,0.0574,0.1,0,2025-01-09
1866,40,1582,Sulfonamide,Sulfonamide,751,7,9,0.0571,0.1,0,2025-02-03
1867,4,125,Enrofloxacin,Fluoroquinolone,148,1,7,0.0159,0.002,1,2025-09-28
1868,7,255,Sulfonamide,Sulfonamide,641,6,1,0.4882,0.1,1,2025-05-13
1869,50,1971,Penicillin,Beta-lactam,660,4,8,0.1139,0.005,1,2025-05-08
1870,27,1057,Penicillin,Beta-lactam,487,6,4,0.1252,0.005,1,2025-02-02
1871,21,819,Enrofloxacin,Fluoroquinolone,348,2,2,0.1116,0.002,1,2025-07-24
1872,32,1268,Enrofloxacin,Fluoroquinolone,274,5,10,0.0314,0.002,1,2025-12-08
1873,38,1497,Enrofloxacin,Fluoroquinolone,517,3,3,0.0897,0.002,1,2025-08-03
1874,39,1550,Penicillin,Beta-lactam,477,6,9,0.0493,0.005,1,2025-02-23
1875,16,635,Enrofloxacin,Fluoroquinolone,184,4,1,0.2433,0.002,1,2025-05-30
1876,49,1937,Gentamicin,Aminoglycoside,260,3,6,0.0545,0.01,1,2025-01-22
1877,10,383,Gentamicin,Aminoglycoside,334,6,6,0.0468,0.01,1,2025-12-16
1878,10,383,Enrofloxacin,Fluoroquinolone,296,7,1,0.3459,0.002,1,2025-08-29
